"","ID","Gene.name","Biotype","EL4.NP.ER.Son","EL4.NP.SAL.Son","EL4.NP.SAL.Ext","EL4.Tot","EL4.Tot.ER","EL4.IC.SAL.1","EL4.IC.SAL.2"
"47","NR_029568","Mir181a-2","miRNA",815.362,4531.3,2008.59,362.133,4165.34,0,0
"48","NR_002172","Snord15a","snoRNA",230.6217,1745.39,1871.85,18386.8,3579.69,717.424,160.196
"49","NR_039540","Mir3963",".",5899.26,2869.08,3845.26,313.163,3368.14,0,14575.2
"50","NR_029656","Mirlet7d","miRNA",710.466,1651.93,1152.13,1413.7,3665.33,0,0
"51","NR_029904","Mir181b-2","miRNA",283.9421,2540.78,1292.05,858.362,3363.14,0,0
"52","NR_001460","Rmrp","ribozyme",620.43,322.777,463.345,8453.09,3147.25,0,23.2565
"53","NR_029795","Mir181a-1","lincRNA",534.955,4062.7,2204.59,237.593,3120.19,0,139.636
"54","NR_028530","Snord66","snoRNA",2116.387,24514.9,13040.8,284227,3097.98,0,208.604
"55","NR_030756","Mir423","miRNA",1510.828,6301.66,3213.73,1379.41,3268.05,0,48.5461
"56","NR_000004","Snord35b","snoRNA",1451.162,619.536,736.019,17329.6,2869.24,0,0
"57","NR_029539","Mir125a","miRNA",271.982,849.217,80.4443,390.458,2995.18,0,2.51838
"58","NR_029791","Mir139","miRNA",1629.44,6263.79,2693.77,679.899,2834.92,30.3751,221.198
"59","NR_028534","Snord88c","snoRNA",4679.56,4992.46,3457.52,0,2543.3,0,1.11346
"60","NR_029658","Mir106b","miRNA",558.395,46237,28296.6,707.692,2806.77,0,672.311
"61","NR_029849","Mir361","miRNA",555.024,1203.92,714.566,240.805,2541.07,0,0
"62","NR_029803","Mir26a-2","miRNA",0,4186.68,2600.91,0,2248.15,0,0
"63","NR_029575","Mir24-1",".",0,0,0,0,2060.9,0,0
"64","NR_033168","Snora28","snoRNA",402.578,423.885,335.13,31164.8,2056.53,0,0
"65","NR_029531","Mir27b","miRNA",0,27134.3,11665,0,2092.06,0,0
"66","NR_029805","Mir211","miRNA",474.057,905.188,677.924,362.056,2024.03,0,10.6278
"67","NR_029826","Mir7-2","miRNA",534.756,19534.7,9855.5,55.7472,1946.44,0,20.4922
"68","NR_030242","Mir532","miRNA",407.48,46298,25168.7,89.7983,1852.2,0,217.59
"69","NR_029749","Mir93","miRNA",101.5085,3499.54,1827.49,172.517,1809.85,1.517,7.78899
"70","NR_029785","Mir17","miRNA",28.2948,1921.01,1459.74,0,1808.22,0,111.346
"71","NR_028556","Snord92","snoRNA",361.405,1524.95,1430.29,3112.51,1707.04,0,1252.29
"72","NR_028480","Gm12238","sense_intronic",236.6714,207.465,103.675,36672.8,1671.61,0,6.36645
"73","NR_029742","Mir26a-1","miRNA",276.7816,3253.05,1829.26,144.642,1769.81,0,107.561
"74","NR_029792","Mir200c","miRNA",156.05,642.513,269.238,230.7,1481.44,0,0
"75","NR_029825","Mir7-1","miRNA",378.531,14320.1,7351.76,0,1436.66,0,17.0065
"76","NR_105851","Mir30f",".",226.3203,41863.9,33795.8,51.4009,1423.9,0,0
"77","NR_002900","Snora69","snoRNA",62.3299,3166.72,2284.44,1727.89,1400.3,0,0
"78","NR_002865","Rnu11","snRNA",29100.5,9443.76,5183.27,14059,1394.28,0,615.235
"79","NR_028573","Snora24",".",50.6091,0,0,5391.81,1365.72,0,0
"80","NR_029730","Mirlet7e",".",163.9438,57.2728,20.2421,152.673,1363.2,0,8.07963
"81","NR_028091","Snord72","snoRNA",239.081,1649.04,1058.55,741.954,1356.27,0,12.5445
"82","NR_037298","Mir374c",".",147.57,9021.31,2364.21,0,1352.53,0,0
"83","NR_029530","Mir23b","miRNA",0,0,0,0,1429.49,0,0
"84","NR_028549","Snord37","snoRNA",810.798,2446.65,5233.88,0,1301.58,0,281.991
"85","NR_029740","Mir23a","miRNA",0,1896.34,188.47,0,1311.59,0,0
"86","NR_028523","Snord19","snoRNA",36.5941,17898.8,18114.1,0,1258.27,0,1123.25
"87","NR_002903","Snord61","snoRNA",2651.1,3428.3,2401.6,0,1254.75,0,21.9089
"88","NR_034042","Snora5c","snoRNA",168.0574,369.093,289.945,4215.77,1232.97,0,0
"89","NR_028571","Snora17","snoRNA",144.6127,0,1285.29,0,1226.94,0,15.5281
"90","NR_029737","Mir20a","miRNA",60.9338,2695.4,1935.22,0,1292.1,0,185.577
"91","NR_046233","Rn45s",".",0,0,0,0,1186.53,0,0
"92","NR_030417","Mir744","miRNA",319.38,1242.6,733.061,1760.66,1202.71,0,0
"93","NM_018860","Rpl41","protein_coding",312.824,113.388,164.994,0,1131.75,28.8402,189.158
"94","NR_028565","Snord85","snoRNA",62.4439,3927.25,3495.27,486.754,1106.08,0,49.1462
"95","NR_002897","Snora64","snoRNA",686.714,501.991,357.202,73619.2,1074.9,0,0
"96","NR_030526","Mir615","miRNA",223.098,148.94,261.849,2112.81,1169.75,0.912665,2.58804
"97","NR_028521","Snord11","snoRNA",68.6906,1547.02,1240.16,0,1025.87,17.2607,59.469
"98","NR_028559","Snord111","snoRNA",65.4697,552.752,1063,32978.7,1023.25,0,515.277
"99","NR_106171","Mir1291",".",10.3498,0,0,0,1001.85,0,0
"100","NR_002901","Snora68","snoRNA",0,844.112,513.981,0,972.331,0,0
"101","NR_030252","Mir484","miRNA",549.372,5209.23,2080.25,458.994,1047.77,0,0
"102","NR_029657","Mir106a",".",0,74.9885,15.3909,151.061,927.156,0,0
"103","NR_029807","Mir222","miRNA",171.309,339.738,16.8894,193.397,928.805,0,0
"104","NR_030273","Mir20b","miRNA",120.314,13.1136,16.2416,106.274,926.911,0,0
"105","NR_029571","Mir185","miRNA",0,1735.45,1044.02,251.769,867.514,0,221.158
"106","NR_029853","Mir363","miRNA",227.4525,82.8519,0,0,793.079,0,509.678
"107","NR_029802","Mir320","miRNA",15786.35,854.149,482.459,4363.02,792.929,0,147.497
"108","NR_029565","Mir155","miRNA",296.7113,444.146,400.933,42.8613,780.763,0,0
"109","NR_035490","Mir1964","miRNA",264.372,479.752,217.204,556.651,780.479,0,7.70641
"110","NR_105798","Mir7j","miRNA",13.2284,1666.76,1085.58,36.1309,764.411,0,31.5836
"111","NR_028532","Snord71","snoRNA",65.4697,121.303,246.373,5791.19,727.641,0,0
"112","NR_029746","Mir27a","miRNA",92.5525,1695.96,1614.51,0,737.977,0,0
"113","NR_028517","Scarna10",".",173.997,2466.49,2513.64,2036.43,645.421,0,5.3574
"114","NR_029755","Mir103-2","miRNA",26.2829,1665.62,1061.33,70.6471,656.036,0,62.0576
"115","NR_028557","Snord98","snoRNA",0,0,60078.8,0,615.592,0,0
"116","NR_028362","Snord7",".",151.211,1024.05,1167.06,0,605.318,0,0
"117","NR_029587","Mir200b","miRNA",0,1019.49,0,80.2685,639.589,0,0
"118","NR_028079","Snora3","snoRNA",622.077,1913.46,1740.93,23469.6,564.711,0,2.90972
"119","NM_175666","Hist2h2bb","protein_coding",66.5135,105.259,116.792,0,564.278,97.3323,58.5295
"120","NR_028546","Snora7a","snoRNA",56.7822,183.639,101.679,0,547.271,0,0
"121","NR_034051","Snora34","snoRNA",18.5032,2136.41,1518.49,12246.6,545.724,0,0
"122","NR_028554","Snord70","snoRNA",889.139,7573.66,11397.7,2260.6,527.359,0,22.8641
"123","NR_029754","Mir103-1","miRNA",0,1622.34,951.199,70.6471,583.008,0,0
"124","NR_034049","Snora52","snoRNA",222.7516,2185.02,2213.44,4688.27,512.778,0,2.1336
"125","NR_028536","Snord93","snoRNA",1273.873,10440.7,3179.92,0,498.867,0,0
"126","NR_110582","A230103J11Rik","processed_transcript",1.01565,0,14.6213,150.701,497.73,0,0
"127","NR_029912","Mir196b","miRNA",0,241.359,73.922,43.9724,525.566,0,0
"128","NR_028572","Snora43","snoRNA",72.824,91.4232,96.5594,0,485.013,0,0
"129","NR_105744","Mir6236","miRNA",47172.6,10103.8,7431.38,2196.19,490.916,4.6392,4357.74
"130","NR_002142","Rpph1","ribozyme",2195.69,399.849,357.655,4190.04,476.251,0,65.2852
"131","NR_029741","Mir24-2","miRNA",22.9534,392.191,115.241,0,476.261,0,0
"132","NR_028552","Snord58b","snoRNA",201.267,41675.3,47052.9,1275.08,403.263,0,2203.29
"133","NR_029947","Mir425",".",0,172.413,176.741,44.522,402.46,0,0
"134","NM_010106","Eef1a1","protein_coding",88.892,207.297,288.726,1921.83,398.114,242.264,165.265
"135","NR_029717","Mir30c-2","miRNA",65.8087,5000.74,2833.17,20.9151,437.314,15.7999,341.462
"136","NR_028479","Snora20","snoRNA",352.5198,741.068,2204.1,524.79,368.495,0,0
"137","NR_029716","Mir30c-1","miRNA",54.8774,4204.09,2461.43,36.4675,381.063,0,284.743
"138","NR_029778","Mir101b","miRNA",35.9128,35399.1,21671.3,28.9596,355.485,210.565,169.59
"139","NR_105841","Mir378d","miRNA",5.9879,333.525,78.4475,25.7523,350.083,0.445822,6.75495
"140","NR_015531","Dancr","lincRNA",6.27918,7.96781,11.2843,109.173,328.058,0,0
"141","NR_029734","Mir16-1","miRNA",0,2834.72,2823.9,0,329.45,0,0
"142","NR_039559","Mir5100","miRNA",8.18371,0,231.024,89.0896,318.343,12.1862,54.3904
"143","NR_027885","Vaultrc5","misc_RNA",243.246,81.135,82.6395,540.116,312.2,0,11.02
"144","NR_029533","Mir30a","miRNA",47.6488,1576.62,2749.79,19.2116,315.264,0,0
"145","NR_002905","Snora74a","snoRNA",150.4029,470.77,403.78,24505.1,308.311,0,113.712
"146","NR_029743","Mir26b","miRNA",55.8935,1001.73,844.503,0,308.553,0,0
"147","NR_028535","Snord90","snoRNA",198.637,6010.15,4715.71,1459.47,302.285,0,0
"148","NR_106161","Mir7688","miRNA",717.867,667.77,96.9077,19.8156,307.252,0,0
"149","NR_028539","Snord23","snoRNA",839.688,2356.99,1117.33,10381.2,292.772,0,0
"150","NR_029733","Mir15a","miRNA",0,122.324,0,0,294.818,1.21538,734.887
"151","NR_035501","Mir1839","scaRNA",0,6041.06,3774.62,17.6377,278.546,0,34.4294
"152","NR_039543","Mir1843b",".",764.018,220.235,581.706,3552.27,275.587,0,0
"153","NR_029753","Mir98","miRNA",76.2635,180.552,0,24.5137,282.756,0,0
"154","NR_029720","Mir192","miRNA",23.5948,811.673,180.573,9.51326,274.529,0,0
"155","NR_029545","Mir9-2","miRNA",0,1221.53,849.364,36.8057,273.457,0,9.12332
"156","NR_002841_8","Rn4.5s",".",1012.635,361.848,440.965,6320.71,255.94,498.039,497.113
"157","NR_028129","AF357399","snoRNA",303.709,5833.39,2609.31,906.613,255.036,0,73.3258
"158","NR_029534","Mir30b","miRNA",67.774,2091.96,792.921,74.8319,267.516,0,461.352
"159","NM_009735","B2m","protein_coding",17.86861,160.973,237.259,802.22,240.474,0.443223,30.7892
"160","NR_002899","Snora70","snoRNA",677.044,776.799,702.658,8918.75,237.726,0,0.39902
"161","NR_030762","Snord17","snoRNA",319.185,444.656,494.199,9073.81,236.674,0,47.2201
"162","NR_027866","5730408K05Rik","snoRNA",476.065,103.923,97.7915,8148.42,231.467,0,0
"163","NR_030484","Mir703",".",34.8602,447.436,234.578,135.384,226.626,0,0
"164","NR_029766","Mir148b","miRNA",17.9564,14340.7,8897.89,50.6793,249.463,0,0
"165","NR_030451","Mir682","miRNA",414.904,334.091,294.95,1910.34,226.542,0,623.738
"166","NR_029572","Mir186","miRNA",269.2946,447.905,666.095,19.2116,215.14,0,0
"167","NR_030423","Mir671","miRNA",0,0,0,0,212.245,0,0
"168","NR_028560","Scarna17","scaRNA",0,2257.01,1908.3,683.364,200.396,0,0
"169","NM_010239","Fth1","protein_coding",68.8278,233.52,276.451,563.928,198.713,21.901,76.8817
"170","NR_029739","Mir22","miRNA",0,0,0,0,208.051,0,0
"171","NR_030496","Mir501","miRNA",12.3363,129.522,21.2841,109.426,188.523,0,5.08386
"172","NR_029761","Mir328","miRNA",116.4236,175.158,0,0,183.092,0,0
"173","NR_029654","Mir34c","miRNA",0,641.924,292.605,14.9579,180.39,0,139.573
"174","NR_030468","Mir146b","miRNA",14.3923,229.088,68.4133,9.5333,174.202,0,6.06826
"175","NR_105974","Mir7007","miRNA",0,0,0,240.805,172.862,0,39.1717
"176","NM_008774","Pabpc1","protein_coding",47.5084,317.901,151.071,591.804,167.518,2758.7,0
"177","NM_175657","Hist1h4n","protein_coding",155.2351,60.2842,47.0892,430.467,167.438,0.967807,14.5861
"178","NR_002902","Snora62","snoRNA",99.791,1136.84,1413.47,10695,161.892,0,80.2503
"179","NR_028538","Scarna2","scaRNA",1690.232,453.416,112.073,3529.15,157.926,0,0
"180","NM_018853","Rplp1","protein_coding",38.7634,19.6851,93.4141,307.639,156.288,321.572,234.076
"181","NR_037207","Mir1843a",".",124.888,2217.08,2217.97,1875.99,156.015,0,0
"182","NM_175655","Hist1h4f","protein_coding",67.5851,33.9611,25.8804,296.035,149.657,1.01587,6.27015
"183","NR_030523","Mir652","miRNA",63.4572,143.994,89.9467,77.0721,168.996,0,0
"184","NR_029817","Mir9-1",".",0,631.463,439.074,9.51326,141.362,0,4.71625
"185","NM_027360","2010107E04Rik","protein_coding",7.67345,86.637,84.0965,236.518,140.951,1663.1,1122.43
"186","NR_029591","Mir204","miRNA",54.3964,0,0,43.8645,141.696,0,0
"187","NR_029806","Mir221","miRNA",0,90.8601,94.5935,0,139.96,0,0
"188","NR_029818","Mir9-3","miRNA",0,609.818,423.86,9.18363,136.464,0,1.95085
"189","NR_029546","Mir132","miRNA",0,0,5.87582,24.0296,124.197,0,39.0889
"190","NM_007393","Actb","protein_coding",315.498,82.8522,88.8915,575.159,115.868,48.7075,84.5323
"191","NR_029715","Mir19b-2","miRNA",14.1474,1250.72,841.758,0,118.746,0,775.714
"192","NR_029529","Mir15b","miRNA",0,972.669,178.31,0,113.694,0,309.166
"193","NM_178192","Hist1h4a","protein_coding",74.9324,28.0811,26.7516,198.516,113.385,0.630721,7.74865
"194","NM_012053","Rpl8","protein_coding",286.379,260.362,309.93,594.084,112.489,137.61,90.159
"195","NM_009095","Rps5","protein_coding",70.2807,64.1239,80.5568,500.006,112.173,5.80435,49.617
"196","NM_007475","Rplp0","protein_coding",37.8662,50.195,58.2274,547.419,110.312,95.5162,128.99
"197","NR_030534","Mir181d","miRNA",0,28.1892,0,18.4029,113.61,0,0
"198","NM_009093","Rps29","protein_coding",46.9729,101.071,100.574,10172.9,106.716,167.047,117.117
"199","NM_053071","Cox6c","protein_coding",15.96047,42.6653,62.5128,194.252,105.341,696.39,412.73
"200","NR_034044","Snora36b","snoRNA",10.9714,472.894,624.571,1376.67,104.156,0,0
"201","NM_016750","H2afz","protein_coding",28.1235,51.1007,63.2532,304.138,100.493,10.7585,30.5653
"202","NM_175654","Hist1h4d","protein_coding",106.7802,68.6764,67.7389,311.707,92.2275,3.54453,20.1704
"203","NM_008907","Ppia","protein_coding",29.2014,66.2581,93.9231,202.677,91.0136,1387.54,516.6
"204","NR_029659","Mir130b","miRNA",244.063,160.155,144.749,63.9629,108.078,0,4.80222
"205","NR_029776","Mir351","miRNA",16.0061,506.247,141.275,38.3935,90.6075,0,0
"206","NR_029736","Mir18","miRNA",18.5598,149.587,82.3418,0,90.2462,0,0
"207","NM_172086","Rpl32","protein_coding",18.11829,70.15,91.3741,578.669,89.3967,333.937,385.927
"208","NM_007830","Dbi","protein_coding",22.0467,38.4373,52.7525,153.554,87.7648,26.6477,47.1096
"209","NM_013765","Rps26","protein_coding",26.0378,77.9476,83.5106,218.875,87.5268,97.0854,117.285
"210","NR_035472","Mir1949",".",181.745,1159.52,200.467,8651.5,86.431,0,6.52862
"211","NM_024266","Rps25","protein_coding",13.71394,9.04121,18.8689,243.868,85.9093,15.4712,13.3227
"212","NR_105853","Mir6516","lincRNA",11.9758,108.479,106.41,678.412,83.1881,361.116,0
"213","NR_028555","Snord89","snoRNA",679.887,693.129,342.897,794.84,82.7142,0,0.780984
"214","NM_008302","Hsp90ab1","protein_coding",31.331,74.3398,92.9484,416.618,80.8897,699.791,1106.79
"215","NM_178206","Hist1h3h",".",110.7605,47.79,51.3901,349.919,79.7351,0.0541866,19.685
"216","NM_026055","Rpl39","protein_coding",1.799523,53.9909,52.184,232.872,75.9507,219.114,355.796
"217","NR_029800","Mir219a-1","miRNA",15.50719,340.044,104.393,29.6956,89.6352,0,8.21366
"218","NR_029561","Mir151","miRNA",99.3184,720.435,433.416,10.9661,75.5714,0,6.11607
"219","NM_020600","Rps14","protein_coding",66.7204,93.6963,107.196,379.782,73.8928,536.208,0
"220","NR_029756","Mir322","miRNA",0,0,0,0,74.9214,0,0
"221","NM_024175","Rps23","protein_coding",7.22585,69.6916,81.0887,271.381,72.8732,0,1188.69
"222","NM_009094","Rps4x","protein_coding",11.99244,23.5549,30.4885,219.274,72.3556,151.925,123.202
"223","NM_007748","Cox6a1","protein_coding",56.7756,51.9074,6.80287,332.679,69.2389,0.738235,13.8535
"224","NR_030275","Mir503","miRNA",0,278.305,0,0,73.6574,0,0
"225","NM_001199350","Rpl34-ps1","protein_coding",0,49.0715,40.9375,140.427,68.2994,0,0
"226","NM_175015","Atp5g3","protein_coding",8.7768,0,43.1686,193.475,67.9045,0,0
"227","NM_178208","Hist1h4c","protein_coding",184.7744,59.3487,58.4697,243.905,67.8731,0.729532,16.462
"228","NR_030644","Mir582","miRNA",0,2269.63,1373.58,0,68.66,27.5972,10.1692
"229","NM_011291","Rpl7","protein_coding",13.19241,40.0352,44.2407,181.178,64.3623,10.7505,37.5325
"230","NR_028042","Gm10012",".",10.67664,16.6471,13.2362,142.879,64.3392,5.19477,7.08481
"231","NM_016959","Rps3a1","protein_coding",11.44903,33.4311,39.3442,155.074,64.337,85.1982,70.5359
"232","NM_001293559","Cox4i1","protein_coding",0,91.7841,157.464,0,63.8704,60.1536,47.0486
"233","NR_029560","Mir150","miRNA",62.4439,887.007,1469.19,0,65.0636,0,2.45731
"234","NM_178211","Hist1h4k","protein_coding",97.1658,37.7226,28.3043,183.703,62.3133,0.769837,17.9076
"235","NM_007476","Arf1","protein_coding",14.19201,132.884,131.585,105.525,60.9976,0,0
"236","NM_007747","Cox5a","protein_coding",14.26549,22.4844,31.0626,233.144,60.3688,0,5.59057
"237","NR_028515","Snora78","snoRNA",75.4599,28.2283,17.1876,228.074,60.2182,0,0
"238","NM_029767","Rps9","protein_coding",101.6389,75.5486,87.4829,318.275,59.9354,1041.38,1606.17
"239","NR_105747","Mir6239","miRNA",733.426,381.033,453.485,32.5597,63.1793,0,0
"240","NR_030611","Mir598","miRNA",0,1036.51,388.456,41.4423,59.4986,0,0
"241","NM_012032","Serinc3","protein_coding",12.94892,30.2359,30.7783,190.516,58.5104,26.7995,33.498
"242","NM_013549","Hist2h2aa1",".",82.075,98.9694,163.143,0,57.6981,0,0
"243","NM_025587","Rps21","protein_coding",13.729,92.826,94.9254,210.404,57.6351,2752.87,4652.11
"244","NR_110499","Rpl14-ps1",".",5.97274,82.8667,0,209.151,56.535,0,0
"245","NR_028545","Scarna8","scaRNA",151.9347,182.319,267.572,267.037,56.2261,0,17.488
"246","NR_029744","Mir29a","miRNA",0,251.675,30.1318,4.92906,59.4438,6.82652,214.294
"247","NM_007907","Eef2","protein_coding",155.3904,238.316,173.142,342.811,53.7972,130.994,71.3873
"248","NR_003027","Rnu6",".",0,269.537,74.4702,81.2138,52.4693,0,18521.8
"249","NR_130331","Mir669o","miRNA",0,0.881739,0,3.41266,54.3709,0,0
"250","NM_021278","Tmsb4x","protein_coding",15.7261,4.64979,10.4022,118.636,52.2037,0.663486,29.178
"251","NM_010886","Ndufa4","protein_coding",8.35397,73.2377,81.7519,152.461,52.1675,27.5472,37.365
"252","NR_105856","Mir6538","miRNA",611.66,924.623,482.551,385.759,52.3936,0,183.012
"253","NM_026147","Rps20","protein_coding",13.1059,39.9198,0,263.192,52.0413,90.6715,146.74
"254","NR_029722","Mir196a-2","miRNA",0,14.0325,11.2003,21.9862,52.0831,0,74.0333
"255","NM_010306","Gnai3","protein_coding",1.972533,12.6264,13.3428,113.242,51.6234,5.10122,14.9691
"256","NM_030685","Serp1","protein_coding",5.50165,15.3902,19.4091,176.613,51.6233,97.5214,29.3455
"257","NR_029789","Mir32","miRNA",0,0,0,0,51.8586,0,39.1717
"258","NM_001163425","Myeov2","protein_coding",6.35501,22.1013,32.176,116.233,51.4282,84.4237,68.3664
"259","NM_008410","Itm2b","protein_coding",20.0752,63.4601,105.734,177.62,51.1651,98.872,92.4008
"260","NR_029745","Mir29c","miRNA",0,0,0,0,51.5628,0,0
"261","NR_109835","Mir692-2","miRNA",48.5791,50.177,49.1091,12998.5,50.836,0,159.312
"262","NM_009169","Shfm1","protein_coding",19.71192,177.418,166.139,226.499,50.8343,1112.04,898.286
"263","NM_013602","Mt1","protein_coding",125.6792,104.336,116.952,575.296,50.7706,20.1532,30.708
"264","NM_001017429","Cox17","protein_coding",8.74842,25.5198,27.0668,122.681,50.6668,128.73,57.4481
"265","NM_022032","Perp","protein_coding",8.25487,31.8642,32.336,13.0975,50.6539,3089.25,2891.4
"266","NM_013725","Rps11","protein_coding",28.0222,32.0713,39.2162,249.765,50.5883,337.59,0
"267","NM_019865","Rpl36a","protein_coding",16.57853,95.9434,105.333,220.521,49.5402,3771.53,1309.05
"268","NM_008972","Ptma","protein_coding",13.48394,22.8781,24.3419,129.94,49.4956,1744.5,2987.21
"269","NM_178188","Hist1h2ad",".",38.0446,84.258,111.01,74.7838,48.668,34.9645,33.0806
"270","NM_133668","Slc25a3","protein_coding",25.1701,60.4829,78.1224,116.051,48.3554,14.9179,14.3581
"271","NR_035409","Mir692-3","miRNA",48.5791,49.9231,49.4132,38369.4,50.836,0,159.312
"272","NR_037228","Mir3068","snoRNA",34.2618,520.305,320.898,193.397,47.5989,0,0
"273","NM_001077529","Nme2","protein_coding",1.9134,13.6465,18.2878,87.0004,46.9935,7.84254,34.4723
"274","NR_106144","Mir7679","miRNA",0,40.0666,8.46528,0,47.7149,0,162.188
"275","NM_013686","Tcp1","protein_coding",9.28186,27.4088,39.1974,59.1061,45.0886,23.633,36.4661
"276","NM_008495","Lgals1","protein_coding",47.6804,38.9683,55.649,268.586,44.6589,19.6989,18.9707
"277","NM_139143","Slc39a6","protein_coding",20.47293,85.0504,101.176,131.021,44.2589,13.0686,13.3686
"278","NM_011655","Tubb5","protein_coding",72.7534,31.3227,36.2688,216.703,43.0444,128.707,75.4844
"279","NM_010240","Ftl1","protein_coding",111.8909,54.4619,48.5542,351.114,42.2787,10.5239,118.894
"280","NR_029786","Mir19a","miRNA",141.9119,235.372,52.6361,0,45.9157,0,1196.55
"281","NR_029763","Mir330","miRNA",0,0,21.63,0,42.249,0,0
"282","NM_009091","Rps15","protein_coding",28.5387,79.0364,95.0588,206.166,41.2188,8.80969,5.10334
"283","NM_009382","Thy1","protein_coding",48.4764,86.789,114.589,177.011,40.9328,138.441,57.5151
"284","NR_029735","Mir16-2","miRNA",0,67.1575,62.274,7.73695,41.3215,0,0
"285","NM_016904","Cks1b","protein_coding",5.59948,24.9678,8.15266,80.5647,40.0201,24.8317,3.61787
