"","ENSEMBL","Gene_name","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GENENAME","Biotype"
"18","ENSMUSG00000005268","Prlr",30.6317804924276,6.36747310697385,0.965974226989013,6.59176293638968,4.34634224832429e-11,1.77146373454429e-08,"prolactin receptor","protein_coding"
"19","ENSMUSG00000005534","Insr",11.4085354923689,7.8185363202065,1.58156061661715,4.94355779858112,7.67095934799624e-07,6.53002552092085e-05,"insulin receptor","protein_coding"
"20","ENSMUSG00000005649","Cabp5",5.10500290353388,6.62217695095948,2.03339182517418,3.25671465232346,0.00112709674976195,0.0179189731492886,"calcium binding protein 5","protein_coding"
"21","ENSMUSG00000006218","Fam131c",3.75756411909911,6.23648638259486,2.18368273912047,2.85594893015766,0.00429084146001101,0.0442914947330377,"family with sequence similarity 131, member C","protein_coding"
"22","ENSMUSG00000006344","Ggt5",6.28942992588272,6.9300706879886,1.87617369968022,3.69372552720987,0.000220992333240589,0.00561880317974654,"gamma-glutamyltransferase 5","protein_coding"
"23","ENSMUSG00000006542","Prkag3",4.04335305219465,6.32089542626205,2.0992345186836,3.01104777479831,0.0026034788651267,0.0318615431506607,"protein kinase, AMP-activated, gamma 3 non-catatlytic subunit","protein_coding"
"24","ENSMUSG00000007107","Atp1a4",7.54437262833466,5.42216286247068,1.61177617090165,3.36409171469353,0.00076796018207269,0.0137806715507538,"ATPase, Na+/K+ transporting, alpha 4 polypeptide","protein_coding"
"25","ENSMUSG00000009292","Trpm2",49.339050735305,2.12878777622687,0.594642822473001,3.57994361619244,0.000343668354288894,0.00770389894197605,"transient receptor potential cation channel, subfamily M, member 2","protein_coding"
"26","ENSMUSG00000009739","Pou6f1",31.7554086592705,2.17506940707925,0.651099018656696,3.34061232585899,0.000835938582478918,0.0145263229125858,"POU domain, class 6, transcription factor 1","protein_coding"
"27","ENSMUSG00000010342","Tex14",11.9510478429137,4.90780969347989,1.25437468493134,3.91255479916556,9.1324805686849e-05,0.00292456818211457,"testis expressed gene 14","protein_coding"
"28","ENSMUSG00000011382","Dhdh",9.09419757619006,3.82063772126807,1.25044292921404,3.05542750653124,0.00224739925757138,0.0290928970301588,"dihydrodiol dehydrogenase (dimeric)","protein_coding"
"29","ENSMUSG00000013353","4931406B18Rik",10.6870825221632,4.61788804169104,1.29627893738086,3.56241847994655,0.000367454028991642,0.00810591356367112,"RIKEN cDNA 4931406B18 gene","protein_coding"
"30","ENSMUSG00000014592","Camta1",40.697345547688,2.40035789338026,0.621501462277663,3.86219186771257,0.000112374254388687,0.00344290141578095,"calmodulin binding transcription activator 1","protein_coding"
"31","ENSMUSG00000015653","Steap2",6.2177406000532,6.04808660783194,1.74502587045918,3.46590082715533,0.000528458167076823,0.0106244579180617,"six transmembrane epithelial antigen of prostate 2","protein_coding"
"32","ENSMUSG00000015766","Eps8",4.45191915629982,6.4842119327868,2.07917737075112,3.11864299025356,0.00181685959245172,0.0250890775343692,"epidermal growth factor receptor pathway substrate 8","protein_coding"
"33","ENSMUSG00000015829","Tnr",6.13623471901024,6.05243909167877,1.81684960072674,3.33128239632923,0.000864468569939593,0.0149065413662661,"tenascin R","protein_coding"
"34","ENSMUSG00000015850","Adamtsl4",27.757735068562,3.08104491496026,0.784131369158292,3.92924583321738,8.52126910236845e-05,0.00275507378429941,"ADAMTS-like 4","protein_coding"
"35","ENSMUSG00000015944","Gatsl2",9.10508272607751,3.47916409679362,1.17092101358047,2.97130554191264,0.00296536598973728,0.0347423105940474,"GATS protein-like 2","protein_coding"
"36","ENSMUSG00000017309","Cd300lg",7.77271497481759,3.76000726984799,1.30672745892165,2.8774227128822,0.0040093811105984,0.0426631138746428,"CD300 molecule like family member G","protein_coding"
"37","ENSMUSG00000018341","Il12rb2",28.8970225566575,2.73369788046905,0.714181638819764,3.82773475524613,0.000129328015114285,0.00374884009329124,"interleukin 12 receptor, beta 2","protein_coding"
"38","ENSMUSG00000018427","Ypel2",23.424691125527,2.44052911864212,0.778529965249527,3.13479150139057,0.00171976295239961,0.0242461338676884,"yippee like 2","protein_coding"
"39","ENSMUSG00000018581","Dnah11",21.1709692430166,2.62777168461781,0.805385919992696,3.26274847794911,0.00110337399197408,0.0176312547722402,"dynein, axonemal, heavy chain 11","protein_coding"
"40","ENSMUSG00000018669","Cdk5rap3",71.5110302227401,2.68143616154169,0.732846922341375,3.65893078048928,0.000253269730643296,0.00626190786241238,"CDK5 regulatory subunit associated protein 3","protein_coding"
"41","ENSMUSG00000018819","Lsp1",11.4239531890662,4.22838985446043,1.31346940804189,3.21925263624076,0.0012852519622187,0.0197787630341436,"lymphocyte specific 1","protein_coding"
"42","ENSMUSG00000018845","Unc45b",17.62385810696,7.44926166856105,1.55854995955501,4.77961044680783,1.75635167409794e-06,0.000127691513603336,"unc-45 myosin chaperone B","protein_coding"
"43","ENSMUSG00000019027","Dnah1",9.10553312889839,3.58821389096086,1.18891165986456,3.01806602802569,0.00254393470479615,0.031506373645956,"dynein, axonemal, heavy chain 1","protein_coding"
"44","ENSMUSG00000019230","Lhx9",15.945283761998,4.09242380637448,0.97960456075146,4.17762837203939,2.94564419379587e-05,0.00122659177729271,"LIM homeobox protein 9","protein_coding"
"45","ENSMUSG00000019577","Pdk4",7.92383441856795,4.7649671303433,1.49405024282993,3.18929510785248,0.00142620201100698,0.0214063054071189,"pyruvate dehydrogenase kinase, isoenzyme 4","protein_coding"
"46","ENSMUSG00000019699","Akt3",7.29446461399577,4.32956415280438,1.51970678365936,2.84894704646843,0.00438641805355482,0.0448648842740018,"thymoma viral proto-oncogene 3","protein_coding"
"47","ENSMUSG00000019775","Rgs17",7.35972268670897,4.57031891909028,1.45456190614893,3.14205871869047,0.00167764387563031,0.0238020149021388,"regulator of G-protein signaling 17","protein_coding"
"48","ENSMUSG00000019779","Frk",8.56233320424513,5.25963983330912,1.5858843301224,3.31653433570605,0.000911413873374035,0.0155171096163048,"fyn-related kinase","protein_coding"
"49","ENSMUSG00000019787","Trdn",5.11910556648621,6.69299232096935,2.0629984563583,3.24430311634073,0.00117738380444763,0.01854310558527,"triadin","protein_coding"
"50","ENSMUSG00000019803","Nr2e1",14.8875358684036,5.96394413672857,1.34372356379372,4.43837132683051,9.06421459055714e-06,0.000470709213293411,"nuclear receptor subfamily 2, group E, member 1","protein_coding"
"51","ENSMUSG00000019876","Pkib",4.27480473126156,6.40384787189691,2.06178517786177,3.10597240714389,0.00189654412070269,0.0259231303086445,"protein kinase inhibitor beta, cAMP dependent, testis specific","protein_coding"
"52","ENSMUSG00000019888","Mgat4c",5.92213511174421,6.87847980573622,1.86673556835865,3.68476388532319,0.000228914750188326,0.00575495960753829,"MGAT4 family, member C","protein_coding"
"53","ENSMUSG00000019893","Ros1",4.1932988502186,6.40498818526808,2.17268917888734,2.94795419773211,0.00319884455525257,0.0362561529289445,"Ros1 proto-oncogene","protein_coding"
"54","ENSMUSG00000019971","Cep290",4.4247505292855,6.48262138399521,2.14147258335865,3.02717925710166,0.00246847525946676,0.030892794754794,"centrosomal protein 290","protein_coding"
"55","ENSMUSG00000020017","Hal",5.78798671922915,5.70222181121694,1.88021743442918,3.03274595097459,0.00242339524022089,0.0306629030865202,"histidine ammonia lyase","protein_coding"
"56","ENSMUSG00000020034","Tcp11l2",13.7538280678812,3.35367907060826,1.16360590480864,2.8821433930071,0.0039497994174039,0.0422968170096198,"t-complex 11 (mouse) like 2","protein_coding"
"57","ENSMUSG00000020044","Timp3",4.61493091838575,6.47711547817103,2.08552264866725,3.10575168402521,0.00189796025127225,0.0259231303086445,"tissue inhibitor of metalloproteinase 3","protein_coding"
"58","ENSMUSG00000020053","Igf1",12.7665989838184,3.15350586932559,1.11184167844944,2.83629039138326,0.00456409264956404,0.0459483878268237,"insulin-like growth factor 1","protein_coding"
"59","ENSMUSG00000020155","Kcnmb1",39.1363958173981,2.23816726777023,0.677130106386702,3.30537255198049,0.000948502303461977,0.0159842781582931,"potassium large conductance calcium-activated channel, subfamily M, beta member 1","protein_coding"
"60","ENSMUSG00000020182","Ddc",17.2549447390442,3.83708726633852,0.953935641884848,4.02237540758719,5.76141323408997e-05,0.0020580272101296,"dopa decarboxylase","protein_coding"
"61","ENSMUSG00000020216","Jsrp1",6.81303240890618,5.93537083926214,1.91350995231064,3.10182386670889,0.00192332357239833,0.0261564226984403,"junctional sarcoplasmic reticulum protein 1","protein_coding"
"62","ENSMUSG00000020542","Myocd",4.50625641032846,6.48226299484574,2.0281054702962,3.19621592160047,0.00139242867072041,0.0210348174578246,"myocardin","protein_coding"
"63","ENSMUSG00000020653","Klf11",104.731929851603,3.44453512060958,0.634413359505802,5.42948074626426,5.65182497724518e-08,7.10439681719137e-06,"Kruppel-like factor 11","protein_coding"
"64","ENSMUSG00000020866","Cacna1g",8.6244112503651,6.38573843162468,1.6771508706378,3.80749194566871,0.000140383309847156,0.00395839731120388,"calcium channel, voltage-dependent, T type, alpha 1G subunit","protein_coding"
"65","ENSMUSG00000020900","Myh10",21.7746630170556,2.27007714690948,0.803772232329162,2.82427913730146,0.00473870950819346,0.0472816341878353,"myosin, heavy polypeptide 10, non-muscle","protein_coding"
"66","ENSMUSG00000020908","Myh3",6.47290622178199,5.89796663496568,1.75750205504717,3.35588036328492,0.000791127840150443,0.0139641331365137,"myosin, heavy polypeptide 3, skeletal muscle, embryonic","protein_coding"
"67","ENSMUSG00000021071","Trim9",6.41220709689234,6.98877115372345,1.82149679179161,3.8368286923247,0.000124633347015604,0.00366610483727931,"tripartite motif-containing 9","protein_coding"
"68","ENSMUSG00000021198","Unc79",12.7657939614456,4.44020003030383,1.16792546570168,3.80178372738555,0.000143658102739014,0.00403382355290134,"unc-79 homolog (C. elegans)","protein_coding"
"69","ENSMUSG00000021268","Meg3",16.8426743820871,6.65350188908574,1.31212050979225,5.07080092067091,3.96144996565472e-07,3.80582157414685e-05,"maternally expressed 3","lincRNA"
"70","ENSMUSG00000021279","Cdc42bpb",8.41584209057363,5.61490386470431,1.51434662356678,3.70780624285303,0.000209062516058404,0.00540748238651065,"CDC42 binding protein kinase beta","protein_coding"
"71","ENSMUSG00000021301","Hecw1",7.9508629693177,7.32183067427501,1.78257487025807,4.10744636673522,4.00057634152909e-05,0.00155513733507417,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 1","protein_coding"
"72","ENSMUSG00000021359","Tfap2a",25.7700207182598,4.48281338038199,1.10966044024462,4.03980642888719,5.34953340907901e-05,0.00192898724804592,"transcription factor AP-2, alpha","protein_coding"
"73","ENSMUSG00000021418","Rpp40",81.0457023265376,6.4668516736349,0.873937696773009,7.39967127807116,1.36522029182768e-13,1.31158663750588e-10,"ribonuclease P 40 subunit","protein_coding"
"74","ENSMUSG00000021469","Msx2",4.12485893323762,6.31609783121148,2.14911446631637,2.93893039677753,0.00329347027207379,0.0368837321961353,"msh homeobox 2","protein_coding"
"75","ENSMUSG00000021719","Rgs7bp",6.62838246728049,4.74429742827187,1.59032722924787,2.98322090008838,0.00285232048049489,0.0338018492657355,"regulator of G-protein signalling 7 binding protein","protein_coding"
"76","ENSMUSG00000021922","Itih4",4.5605936643571,6.47831556846603,2.02741619169406,3.19535554416822,0.00139658676504367,0.0210348174578246,"inter alpha-trypsin inhibitor, heavy chain 4","protein_coding"
"77","ENSMUSG00000021961","4930578I06Rik",4.38347923931884,6.39983307030295,2.14996724008377,2.97671190099324,0.00291357659410814,0.0342548996422679,"RIKEN cDNA 4930578I06 gene","protein_coding"
"78","ENSMUSG00000021974","Fgf9",15.7146603768891,5.45133757179217,1.41365167919702,3.85620987971284,0.000115158625134326,0.00348159297850386,"fibroblast growth factor 9","protein_coding"
"79","ENSMUSG00000021994","Wnt5a",6.18075541782543,6.93402550499569,1.83989085507048,3.7687156745665,0.000164089669059706,0.00451330480338046,"wingless-type MMTV integration site family, member 5A","protein_coding"
"80","ENSMUSG00000022053","Ebf2",4.24763610424724,6.40559362052586,2.07818763760274,3.08229801035431,0.00205409082509217,0.0273539817796927,"early B cell factor 2","protein_coding"
"81","ENSMUSG00000022095","Fam160b2",42.7966236046561,2.14009482631846,0.622565909755385,3.4375393717901,0.000587025371018465,0.0113604190506451,"family with sequence similarity 160, member B2","protein_coding"
"82","ENSMUSG00000022103","Gfra2",6.75115963829011,4.80889985249819,1.53515724920472,3.13251287774552,0.00173316824243802,0.0243345627828479,"glial cell line derived neurotrophic factor family receptor alpha 2","protein_coding"
"83","ENSMUSG00000022122","Ednrb",13.9481156902301,4.82583199881268,1.33951684356934,3.60266615681633,0.000314969939870872,0.00726645916168649,"endothelin receptor type B","protein_coding"
"84","ENSMUSG00000022148","Fyb",206.063278078634,2.17571200261861,0.422153665713823,5.15383894378763,2.5520715100148e-07,2.58085427140595e-05,"FYN binding protein","protein_coding"
"85","ENSMUSG00000022262","Dnah5",7.79338165470634,5.80616414141792,1.75334735764503,3.31147397354072,0.000928058723451678,0.015681394259328,"dynein, axonemal, heavy chain 5","protein_coding"
"86","ENSMUSG00000022311","Csmd3",16.8139510887808,5.62169537551057,1.11771184069693,5.02964643552964,4.91385098105659e-07,4.55802039277318e-05,"CUB and Sushi multiple domains 3","protein_coding"
"87","ENSMUSG00000022419","Deptor",20.8222896708174,4.61086416287502,0.922426331307951,4.99862591339632,5.77402972881431e-07,5.17737999017016e-05,"DEP domain containing MTOR-interacting protein","protein_coding"
"88","ENSMUSG00000022432","Smc1b",6.92398795558949,4.46913424165194,1.51181679767492,2.95613479657402,0.00311520910828077,0.035697611781452,"structural maintenance of chromosomes 1B","protein_coding"
"89","ENSMUSG00000022518","4930562C15Rik",17.7315309413391,4.49506919447671,1.06430134945008,4.22349290151636,2.40544950194507e-05,0.00105729724840396,"RIKEN cDNA 4930562C15 gene","protein_coding"
"90","ENSMUSG00000022555","Dgat1",106.577592411038,2.39985283368402,0.630000963640189,3.80928438556268,0.000139369583205107,0.00393806910527034,"diacylglycerol O-acyltransferase 1","protein_coding"
"91","ENSMUSG00000022586","Ly6i",3.89340725417071,6.22903101680607,2.21951102096287,2.80648798675655,0.0050084779976286,0.0490991465510967,"lymphocyte antigen 6 complex, locus I","protein_coding"
"92","ENSMUSG00000022636","Alcam",3.58044969406085,6.13907157285067,2.1884878808002,2.80516589865966,0.00502906879793483,0.0491934366052534,"activated leukocyte cell adhesion molecule","protein_coding"
"93","ENSMUSG00000022676","Snai2",12.1159564936316,7.87659985203442,1.62690309682502,4.84146835014698,1.2888320577749e-06,9.90559495832708e-05,"snail family zinc finger 2","protein_coding"
"94","ENSMUSG00000022788","Fgd4",7.13926120858193,5.60386629447442,1.68108047288017,3.3334908024203,0.000857635071319731,0.0148458065756118,"FYVE, RhoGEF and PH domain containing 4","protein_coding"
"95","ENSMUSG00000022957","Itsn1",75.7266033360014,2.96681377134011,0.832875384608643,3.5621340553055,0.000367852456750337,0.00810591356367112,"intersectin 1 (SH3 domain protein 1A)","protein_coding"
"96","ENSMUSG00000022995","Enah",32.8684218314678,6.45674956500491,0.951189739169348,6.78807739310081,1.13637690926913e-11,5.53664930594925e-09,"ENAH actin regulator","protein_coding"
"97","ENSMUSG00000023827","Agpat4",4.04335305219465,6.32089542626205,2.0992345186836,3.01104777479831,0.0026034788651267,0.0318615431506607,"1-acylglycerol-3-phosphate O-acyltransferase 4 (lysophosphatidic acid acyltransferase, delta)","protein_coding"
"98","ENSMUSG00000024109","Nrxn1",8.32296498802524,4.86470851336068,1.39749066887448,3.48103112364867,0.000499487447512087,0.0102880645773929,"neurexin I","protein_coding"
"99","ENSMUSG00000024134","Six2",37.503371063862,5.78685264065215,0.940371876103711,6.1537916942275,7.56520368596481e-10,1.95676903031205e-07,"sine oculis-related homeobox 2","protein_coding"
"100","ENSMUSG00000024242","Map4k3",3.81190137312775,6.23285522841427,2.14112907743023,2.91101330326844,0.00360258678381117,0.0394582998715474,"mitogen-activated protein kinase kinase kinase kinase 3","protein_coding"
"101","ENSMUSG00000024743","Syt7",7.89514679405874,5.09748128590453,1.64434208389403,3.10001266514628,0.00193512367857871,0.0262903166433168,"synaptotagmin VII","protein_coding"
"102","ENSMUSG00000024899","Papss2",12.9617193413077,3.40809476339572,1.15182567585723,2.9588633374224,0.00308776002030927,0.0356178149855572,"3'-phosphoadenosine 5'-phosphosulfate synthase 2","protein_coding"
"103","ENSMUSG00000025140","Pycr1",23.9623173632976,3.04756577121825,0.799871218823631,3.81007054573147,0.000138927143751549,0.00393383175464912,"pyrroline-5-carboxylate reductase 1","protein_coding"
"104","ENSMUSG00000025241","Fyco1",101.790998727386,2.30661854920635,0.493030857561113,4.67844662019037,2.89056397656541e-06,0.000186654996540314,"FYVE and coiled-coil domain containing 1","protein_coding"
"105","ENSMUSG00000025270","Alas2",13.210382372326,2.8533689960562,0.945283698316691,3.01853189802947,0.0025400266059038,0.0314869657598213,"aminolevulinic acid synthase 2, erythroid","protein_coding"
"106","ENSMUSG00000025271","Pfkfb1",14.2501212040408,2.68128757403424,0.938725535854184,2.85630620625914,0.00428601561805197,0.0442914947330377,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1","protein_coding"
"107","ENSMUSG00000025427","Rnf165",8.96370601410285,5.93540878765128,1.53796865213414,3.85925212416723,0.00011373455282822,0.00346600963964195,"ring finger protein 165","protein_coding"
"108","ENSMUSG00000025656","Arhgef9",7.05312699746012,4.0069147810428,1.41740575977447,2.82693558524861,0.00469957802373813,0.046960865096046,"CDC42 guanine nucleotide exchange factor (GEF) 9","protein_coding"
"109","ENSMUSG00000025867","Cplx2",4.94835301230896,5.5091163287065,1.88124079897892,2.92844825165215,0.00340658533647252,0.0377990320928297,"complexin 2","protein_coding"
"110","ENSMUSG00000025936","Gm4956",6.05797824681581,6.87355790727406,1.90819372991083,3.60212791790028,0.000315622977274296,0.00726905658277275,"predicted gene 4956","transcribed_unprocessed_pseudogene"
"111","ENSMUSG00000025938","Slco5a1",9.86987961994356,7.58821624020717,1.65410305156034,4.58751117897347,4.48561416034657e-06,0.000269337100252953,"solute carrier organic anion transporter family, member 5A1","protein_coding"
"112","ENSMUSG00000025983","Ccdc150",7.95093366332696,4.1948047329674,1.37014938524403,3.0615674306348,0.00220181392331401,0.0287239546736891,"coiled-coil domain containing 150","protein_coding"
"113","ENSMUSG00000026018","Ica1l",21.6574458239628,2.34148191684838,0.813621746972767,2.87785070342614,0.00400394581833951,0.0426631138746428,"islet cell autoantigen 1-like","protein_coding"
"114","ENSMUSG00000026069","Il1rl1",31.8547752871485,3.42227674585514,0.845431422995633,4.04796492390705,5.1664886463987e-05,0.00187361783794892,"interleukin 1 receptor-like 1","protein_coding"
"115","ENSMUSG00000026070","Il18r1",75.8939314953519,2.03627508435926,0.532514275920633,3.82388825320948,0.000131363470709689,0.00376724665468083,"interleukin 18 receptor 1","protein_coding"
"116","ENSMUSG00000026235","Epha4",4.01618442518033,6.32290148208737,2.11383035738827,2.99120573228005,0.00277878213018093,0.0331923797965662,"Eph receptor A4","protein_coding"
"117","ENSMUSG00000026321","Tnfrsf11a",39.0040494686669,3.63605193088375,0.680116284156713,5.34622095601218,8.98095642438865e-08,1.04132641300024e-05,"tumor necrosis factor receptor superfamily, member 11a, NFKB activator","protein_coding"
"118","ENSMUSG00000026442","Nfasc",5.92213511174421,6.87847980573622,1.86673556835865,3.68476388532319,0.000228914750188326,0.00575495960753829,"neurofascin","protein_coding"
"119","ENSMUSG00000026579","F5",4.80186189863746,5.67346482822298,1.87800393222903,3.02100796002544,0.00251934736832285,0.0313172108169523,"coagulation factor V","protein_coding"
"120","ENSMUSG00000026589","Sec16b",5.56120216846671,5.70371341663584,1.92820206000793,2.95804756925339,0.00309594343686787,0.0356510609810555,"SEC16 homolog B (S. cerevisiae)","protein_coding"
"121","ENSMUSG00000026616","Cr2",12.8922722558786,3.56829609673594,1.02688191860786,3.47488453353378,0.000511073286091781,0.0104467107871344,"complement receptor 2","protein_coding"
"122","ENSMUSG00000026676","Ccdc3",4.07052167920897,6.31858499604653,2.09865391821002,3.0107798819139,0.00260577676325106,0.0318615431506607,"coiled-coil domain containing 3","protein_coding"
"123","ENSMUSG00000026824","Kcnj3",4.1932988502186,6.40498818526808,2.17268917888734,2.94795419773211,0.00319884455525257,0.0362561529289445,"potassium inwardly-rectifying channel, subfamily J, member 3","protein_coding"
"124","ENSMUSG00000026870","Cutal",9.08064241108159,4.62511263773144,1.33366432573413,3.46797357362431,0.000524398854481724,0.0105794341134874,"cutA divalent cation tolerance homolog-like","protein_coding"
"125","ENSMUSG00000026872","Zeb2",5.41471105479521,5.87778333828668,1.92412970146318,3.05477501533135,0.00225229411226197,0.0291032385600013,"zinc finger E-box binding homeobox 2","protein_coding"
"126","ENSMUSG00000026885","Ttll11",14.0047371123133,3.43875765443419,1.01789034682052,3.37831836717531,0.000729305930871571,0.0132892059656806,"tubulin tyrosine ligase-like family, member 11","protein_coding"
"127","ENSMUSG00000026950","Neb",19.397393941791,4.90676371938245,1.09785304502587,4.46941759793255,7.84328678437025e-06,0.000420287678285975,"nebulin","protein_coding"
"128","ENSMUSG00000026971","Itgb6",11.3251646184777,4.36402324471589,1.2169184962508,3.58612615237669,0.000335626643362016,0.00758685437515818,"integrin beta 6","protein_coding"
"129","ENSMUSG00000027200","Sema6d",5.58837079548103,5.71402666952426,1.86995808893282,3.05569772036188,0.00224537502461618,0.0290928970301588,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6D","protein_coding"
"130","ENSMUSG00000027253","Lrp4",4.9518076966614,5.74853881906125,1.9644137190724,2.92633815537377,0.00342977909985204,0.0379987882149999,"low density lipoprotein receptor-related protein 4","protein_coding"
"131","ENSMUSG00000027381","Bcl2l11",104.814444730935,2.62097887303747,0.598389856502596,4.38005230963688,1.18650822845835e-05,0.000602208893311879,"BCL2-like 11 (apoptosis facilitator)","protein_coding"
"132","ENSMUSG00000027577","Chrna4",9.13909929557082,3.78686773234731,1.34352674273332,2.81860242293591,0.00482332199407911,0.0478772552179809,"cholinergic receptor, nicotinic, alpha polypeptide 4","protein_coding"
"133","ENSMUSG00000027796","Smad9",7.9454032158524,4.72130837941158,1.43014700076945,3.30127488773631,0.000962465348181159,0.0161612471074115,"SMAD family member 9","protein_coding"
"134","ENSMUSG00000027797","Dclk1",8.64729376964054,5.65824896973665,1.50240477812335,3.76612817805623,0.000165798696450378,0.00453846754703396,"doublecortin-like kinase 1","protein_coding"
"135","ENSMUSG00000027805","Pfn2",9.22758392757397,4.72854220453506,1.42263514243741,3.32379122621252,0.000888026485283991,0.0151958730624296,"profilin 2","protein_coding"
"136","ENSMUSG00000027855","Sycp1",4.22046747723292,6.40631997517947,2.11050497775525,3.035444143796,0.00240181706795043,0.0304396633709082,"synaptonemal complex protein 1","protein_coding"
"137","ENSMUSG00000027875","Hmgcs2",4.07052167920897,6.31858499604653,2.09865391821002,3.0107798819139,0.00260577676325106,0.0318615431506607,"3-hydroxy-3-methylglutaryl-Coenzyme A synthase 2","protein_coding"
"138","ENSMUSG00000027977","Ndst3",4.47908778331414,6.48376103222214,2.04604297716844,3.16892709712049,0.00153002767676734,0.0223440523914448,"N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 3","protein_coding"
"139","ENSMUSG00000028176","Lrrc7",8.85275359684804,4.21162447541371,1.42066918263821,2.96453567578106,0.0030314009155105,0.035302509303122,"leucine rich repeat containing 7","protein_coding"
"140","ENSMUSG00000028207","Asph",8.4894314344636,5.14688211986199,1.45202749241941,3.54461754115008,0.000393183151172941,0.00855714139688681,"aspartate-beta-hydroxylase","protein_coding"
"141","ENSMUSG00000028238","Atp6v0d2",24.650630123977,3.0892730116812,0.917227895512952,3.36805392290598,0.000757007886536582,0.0136119733608516,"ATPase, H+ transporting, lysosomal V0 subunit D2","protein_coding"
"142","ENSMUSG00000028289","Epha7",5.69704530353831,5.71883654864019,1.8001752012209,3.17682220306202,0.00148898289252785,0.0220559690578189,"Eph receptor A7","protein_coding"
"143","ENSMUSG00000028341","Nr4a3",74.8708765636512,2.49285815017923,0.867202884123313,2.87459624018589,0.0040454445873704,0.0428016567137766,"nuclear receptor subfamily 4, group A, member 3","protein_coding"
"144","ENSMUSG00000028389","Zfp37",26.6444594368182,5.81536132834661,0.979530700544295,5.93688520953472,2.90487900464778e-09,6.51177043541877e-07,"zinc finger protein 37","protein_coding"
